"Date","Price","Open","High","Low","Vol.","Change %"
"23-09-2025","1,389.80","1,391.00","1,395.00","1,376.80","14.01M","-0.06%"
"22-09-2025","1,390.60","1,403.90","1,410.70","1,388.00","7.76M","-1.19%"
"19-09-2025","1,407.40","1,414.90","1,417.00","1,403.60","13.46M","-0.54%"
"18-09-2025","1,415.00","1,420.40","1,422.00","1,410.70","9.33M","0.08%"
"17-09-2025","1,413.80","1,407.00","1,416.20","1,406.90","7.52M","0.60%"
"16-09-2025","1,405.30","1,404.70","1,408.00","1,398.20","8.69M","0.43%"
"15-09-2025","1,399.30","1,393.00","1,400.80","1,388.60","5.40M","0.31%"
"12-09-2025","1,395.00","1,383.30","1,396.30","1,380.50","7.40M","0.85%"
"11-09-2025","1,383.30","1,376.00","1,385.50","1,375.00","9.77M","0.46%"
"10-09-2025","1,377.00","1,383.90","1,388.50","1,374.10","7.79M","0.06%"
"09-09-2025","1,376.20","1,376.60","1,381.20","1,368.70","9.75M","-0.17%"
"08-09-2025","1,378.50","1,380.00","1,386.00","1,372.40","6.99M","0.25%"
"05-09-2025","1,375.00","1,363.00","1,381.00","1,359.30","5.78M","1.16%"
"04-09-2025","1,359.30","1,371.80","1,374.00","1,357.10","13.22M","-0.97%"
"03-09-2025","1,372.60","1,369.70","1,376.50","1,360.50","7.85M","0.45%"
"02-09-2025","1,366.50","1,354.80","1,384.50","1,354.50","11.52M","0.93%"
"01-09-2025","1,353.90","1,356.00","1,363.20","1,340.60","11.23M","-0.24%"
"29-08-2025","1,357.20","1,381.10","1,403.50","1,350.00","18.76M","-2.07%"
"28-08-2025","1,385.90","1,389.90","1,392.20","1,366.50","13.16M","0.07%"
"26-08-2025","1,384.90","1,408.00","1,410.00","1,381.60","12.15M","-1.96%"
"25-08-2025","1,412.60","1,414.70","1,419.50","1,405.70","5.98M","0.24%"
"22-08-2025","1,409.20","1,420.00","1,423.40","1,407.90","5.82M","-1.09%"
"21-08-2025","1,424.80","1,425.00","1,431.90","1,420.30","11.02M","0.84%"
"20-08-2025","1,413.00","1,413.00","1,424.90","1,410.00","8.73M","-0.50%"
"19-08-2025","1,420.10","1,390.00","1,421.00","1,389.10","14.38M","2.78%"
"18-08-2025","1,381.70","1,390.00","1,394.90","1,377.00","11.79M","0.58%"
"14-08-2025","1,373.80","1,377.30","1,380.70","1,370.10","7.13M","-0.64%"
"13-08-2025","1,382.60","1,388.00","1,391.80","1,377.50","7.46M","0.16%"
"12-08-2025","1,380.40","1,381.90","1,401.90","1,375.20","12.24M","-0.42%"
"11-08-2025","1,386.20","1,370.00","1,388.00","1,361.20","10.00M","1.35%"
"08-08-2025","1,367.80","1,385.00","1,397.20","1,365.00","8.79M","-1.55%"
"07-08-2025","1,389.40","1,387.70","1,393.70","1,366.00","9.98M","-0.24%"
"06-08-2025","1,392.80","1,391.90","1,395.90","1,383.30","5.83M","0.08%"
"05-08-2025","1,391.70","1,411.00","1,411.00","1,388.10","9.32M","-1.40%"
"04-08-2025","1,411.50","1,395.10","1,416.10","1,391.70","6.31M","1.28%"
