"stock_date";"stock_price";"stock_open";"stock_high";"stock_low";"stock_volume";"stock_change";"Volatility_7";"MA_7";"daily_return"
"2025-09-05";1375.0;1363.0;1381.0;1359.3;5780000.0;1.16;1.37615;1367.2;1.155
"2025-09-04";1359.3;1371.8;1374.0;1357.1;13220000.0;-0.97;1.37037;1368.61;-0.968959
"2025-09-03";1372.6;1369.7;1376.5;1360.5;7850000.0;0.45;1.5745;1376.23;0.446394
"2025-09-02";1366.5;1354.8;1384.5;1354.5;11520000.0;0.93;1.39007;1381.46;0.930643
"2025-09-01";1353.9;1356.0;1363.2;1340.6;11230000.0;-0.24;1.3448;1389.79;0.0
"2025-08-29";1357.2;1381.1;1403.5;1350.0;18760000.0;-2.07;1.19248;1398.23;-2.07086
"2025-08-28";1385.9;1389.9;1392.2;1366.5;13160000.0;0.07;1.85166;1407.21;0.0
"2025-08-26";1384.9;1408.0;1410.0;1381.6;12150000.0;-1.96;1.85166;1406.61;-1.96092
"2025-08-25";1412.6;1414.7;1419.5;1405.7;5980000.0;0.24;1.57263;1405.03;0.0
"2025-08-22";1409.2;1420.0;1423.4;1407.9;5820000.0;-1.09;1.40742;1400.74;-1.0949
"2025-08-21";1424.8;1425.0;1431.9;1420.3;11020000.0;0.84;1.30048;1396.63;0.835106
"2025-08-20";1413.0;1413.0;1424.9;1410.0;8730000.0;-0.5;1.43147;1391.11;-0.499963
"2025-08-19";1420.1;1390.0;1421.0;1389.1;14380000.0;2.78;1.63743;1384.66;2.77919
"2025-08-18";1381.7;1390.0;1394.9;1377.0;11790000.0;0.58;0.6384;1380.27;0.0
"2025-08-14";1373.8;1377.3;1380.7;1370.1;7130000.0;-0.64;0.624241;1381.86;-0.636477
"2025-08-13";1382.6;1388.0;1391.8;1377.5;7460000.0;0.16;0.740968;1384.41;0.159371
"2025-08-12";1380.4;1381.9;1401.9;1375.2;12240000.0;-0.42;0.727663;1388.54;-0.418405
"2025-08-11";1386.2;1370.0;1388.0;1361.2;10000000.0;1.35;0.846413;1390.44;0.0
"2025-08-08";1367.8;1385.0;1397.2;1365.0;8790000.0;-1.55;0.830617;1391.01;-1.55463
"2025-08-07";1389.4;1387.7;1393.7;1366.0;9980000.0;-0.24;0.721548;1397.06;-0.244114
"2025-08-06";1392.8;1391.9;1395.9;1383.3;5830000.0;0.08;1.31697;1401.01;0.079047
"2025-08-05";1391.7;1411.0;1411.0;1388.1;9320000.0;-1.4;1.46743;1400.27;-1.40277
"2025-08-04";1411.5;1395.1;1416.1;1391.7;6310000.0;1.28;1.36335;1400.27;0.0
"2025-08-01";1393.7;1386.9;1405.9;1384.3;10320000.0;0.25;1.35695;1399.04;0.251762
"2025-07-31";1390.2;1388.1;1402.6;1382.2;17070000.0;-1.41;1.42433;1403.46;-1.41125
"2025-07-30";1410.1;1418.1;1423.3;1401.3;7210000.0;-0.49;1.37756;1406.69;-0.493967
"2025-07-29";1417.1;1383.0;1420.2;1383.0;10750000.0;2.13;1.52927;1409.33;2.12597
"2025-07-28";1387.6;1392.3;1407.8;1385.0;7750000.0;-0.29;0.936323;1417.74;0.0
"2025-07-25";1391.7;1398.9;1401.0;1384.1;11850000.0;-0.8;0.838378;1430.43;-0.798351
"2025-07-24";1402.9;1419.2;1423.0;1396.0;14740000.0;-1.52;0.853671;1443.84;-1.52323
"2025-07-23";1424.6;1426.0;1426.0;1414.4;8350000.0;0.84;0.665512;1455.63;0.835216
"2025-07-22";1412.8;1427.4;1431.9;1410.7;20400000.0;-1.11;0.522746;1464.07;-1.10597
"2025-07-21";1428.6;1465.0;1476.0;1423.1;22440000.0;-3.21;0.656748;1475.84;0.0
"2025-07-18";1476.0;1484.8;1484.8;1469.1;10300000.0;-0.03;0.598058;1488.5;-0.0270946
"2025-07-17";1476.4;1487.4;1489.6;1473.9;11850000.0;-0.62;0.662606;1494.64;-0.619275
"2025-07-16";1485.6;1473.0;1491.0;1471.5;10410000.0;0.01;0.671201;1503.39;0.0134611
"2025-07-15";1485.4;1486.2;1496.5;1482.4;8130000.0;0.11;0.699242;1511.37;0.114583
"2025-07-14";1483.7;1492.2;1500.0;1479.1;10310000.0;-0.77;0.848327;1517.36;0.0
"2025-07-11";1495.2;1512.0;1515.0;1490.3;7230000.0;-1.45;0.777471;1522.23;-1.45004
"2025-07-10";1517.2;1519.7;1524.7;1507.5;10050000.0;-0.12;0.612969;1525.6;-0.118502
"2025-07-09";1519.0;1536.7;1551.0;1510.1;8870000.0;-1.21;1.07077;1527.2;-1.20968
"2025-07-08";1537.6;1536.0;1544.9;1530.2;7170000.0;-0.25;0.976934;1524.57;-0.253002
"2025-07-07";1541.5;1526.6;1544.8;1525.0;7250000.0;0.93;1.00893;1521.4;0.0
"2025-07-04";1527.3;1524.0;1530.0;1517.2;6600000.0;0.63;1.04331;1514.8;0.625906
"2025-07-03";1517.8;1520.8;1531.9;1513.0;11280000.0;-0.07;1.04326;1506.23;-0.0658415
"2025-07-02";1518.8;1528.4;1530.0;1508.7;6360000.0;-0.63;1.116;1496.66;-0.628106
"2025-07-01";1528.4;1500.6;1531.4;1500.1;10370000.0;1.85;0.941356;1487.8;1.8526
"2025-06-30";1500.6;1513.8;1524.8;1496.0;8410000.0;-0.98;1.03796;1478.91;0.0
"2025-06-27";1515.4;1499.4;1522.0;1496.9;11120000.0;1.34;1.01932;1469.3;1.34421
"2025-06-26";1495.3;1469.1;1498.8;1465.1;14660000.0;1.91;1.10771;1457.11;1.90827
"2025-06-25";1467.3;1464.0;1472.4;1460.5;7530000.0;1.14;1.07478;1447.96;1.1373
"2025-06-24";1450.8;1465.0;1475.0;1443.1;16400000.0;-0.41;1.14141;1443.74;-0.411862
"2025-06-23";1456.8;1453.0;1463.8;1442.0;5990000.0;-0.64;1.24752;1440.47;0.0
"2025-06-20";1466.2;1431.0;1471.0;1428.1;29010000.0;2.3;1.1529;1438.3;2.2954
"2025-06-19";1433.3;1430.1;1439.9;1425.7;10010000.0;0.22;0.594129;1435.83;0.223766
"2025-06-18";1430.1;1430.0;1442.8;1425.7;6680000.0;-0.08;0.591546;1436.57;-0.0768569
"2025-06-17";1431.2;1448.0;1448.0;1425.8;10370000.0;-0.46;0.64671;1439.24;-0.459041
"2025-06-16";1437.8;1426.9;1442.4;1424.4;8460000.0;0.69;0.674129;1441.0;0.0
"2025-06-13";1427.9;1424.0;1435.5;1414.3;9760000.0;-0.95;0.889213;1441.66;-0.95033
"2025-06-12";1441.6;1453.5;1457.0;1434.4;8830000.0;-0.5;0.881966;1441.03;-0.503834
"2025-06-11";1448.9;1445.8;1468.6;1443.1;8200000.0;0.72;0.897402;1435.87;0.722977
"2025-06-10";1438.5;1450.0;1453.9;1436.0;7910000.0;-0.71;0.982623;1430.84;-0.710937
"2025-06-09";1448.8;1457.0;1457.5;1445.3;7890000.0;0.37;0.823639;1428.33;0.0
"2025-06-06";1443.5;1441.0;1451.5;1437.0;8180000.0;0.08;0.738254;1423.9;0.0762601
"2025-06-05";1442.4;1428.0;1454.7;1423.6;13720000.0;1.33;0.859568;1419.53;1.32772
"2025-06-04";1423.5;1414.7;1425.7;1406.1;8130000.0;1.28;0.816686;1416.63;1.28068
"2025-06-03";1405.5;1422.3;1426.5;1403.4;11250000.0;-0.58;0.554096;1418.24;-0.580035
"2025-06-02";1413.7;1412.1;1417.5;1395.6;8100000.0;-0.51;0.848511;1421.29;0.0
"2025-05-30";1420.9;1418.0;1430.6;1409.7;13790000.0;0.22;0.959732;1420.67;0.218647
"2025-05-29";1417.8;1412.1;1420.0;1408.6;13770000.0;0.35;0.969422;1421.86;0.346806
"2025-05-28";1412.9;1420.1;1422.6;1410.7;5940000.0;-0.65;0.998525;1422.83;-0.646927
"2025-05-27";1422.1;1426.1;1437.0;1413.9;12640000.0;-0.89;1.10908;1426.81;-0.885146
"2025-05-26";1434.8;1432.0;1441.0;1425.1;4840000.0;0.56;1.08473;1431.71;0.0
"2025-05-23";1426.8;1406.6;1433.8;1406.6;6470000.0;1.23;1.33671;1434.49;1.23457
"2025-05-22";1409.4;1421.2;1423.8;1396.9;12130000.0;-1.39;1.26413;1434.14;-1.38539
"2025-05-21";1429.2;1423.9;1436.2;1418.1;6140000.0;0.32;1.27913;1435.04;0.322896
"2025-05-20";1424.6;1438.2;1445.0;1421.8;11270000.0;-1.12;1.42495;1436.09;-1.12438
"2025-05-19";1440.8;1452.1;1454.6;1438.2;6200000.0;-1.07;1.67777;1429.31;0.0
"2025-05-16";1456.4;1453.2;1461.0;1447.3;9040000.0;0.15;1.50315;1424.49;0.151291
"2025-05-15";1454.2;1425.0;1461.4;1412.7;20180000.0;2.09;1.54139;1417.29;2.0921
"2025-05-14";1424.4;1420.0;1429.9;1415.5;5570000.0;0.61;0.998044;1412.53;0.614542
"2025-05-13";1415.7;1433.5;1447.7;1412.4;11410000.0;-1.45;0.815535;1413.51;-1.44797
"2025-05-12";1436.5;1400.0;1439.0;1400.0;10670000.0;4.31;0.906714;1414.47;0.0
"2025-05-09";1377.2;1385.5;1394.8;1374.5;13670000.0;-2.12;0.986208;1409.97;-2.11799
"2025-05-08";1407.0;1404.1;1420.8;1398.0;16110000.0;0.07;1.29406;1413.19;0.0711238
"2025-05-07";1406.0;1420.9;1424.4;1402.7;13440000.0;-1.05;1.4924;1407.73;-1.04863
"2025-05-06";1420.9;1431.0;1432.0;1410.6;14080000.0;-0.73;1.28456;1392.64;-0.726614
"2025-05-05";1431.3;1431.0;1439.5;1426.9;12690000.0;0.63;1.07779;1375.6;0.0
"2025-05-02";1422.4;1414.0;1426.7;1409.1;17540000.0;1.24;0.933415;1356.84;0.0
"2025-04-30";1405.0;1402.0;1412.4;1369.0;25480000.0;0.38;0.929635;1338.1;0.378656
"2025-04-29";1399.7;1371.0;1410.9;1370.0;32540000.0;2.26;1.03714;1322.46;2.25744
"2025-04-28";1368.8;1340.0;1374.6;1320.2;31100000.0;5.26;1.28364;1304.57;0.0
"2025-04-25";1300.4;1303.5;1325.2;1288.1;14430000.0;-0.09;1.18401;1286.07;-0.0921905
"2025-04-24";1301.6;1292.4;1304.5;1290.3;10470000.0;0.12;1.27973;1277.46;0.123075
"2025-04-23";1300.0;1297.0;1306.0;1285.4;10480000.0;0.68;1.43807;1265.65;0.68154
"2025-04-22";1291.2;1300.0;1303.9;1286.3;13050000.0;-0.33;1.46244;1249.27;-0.331922
